Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
  109     2.4    17.6     8.6    6.40    0.00    0.00    6.40    0.42    0.46    0.06    0.40  256.25   1.767   1.000   1.000
  110     2.4    23.1     8.2    0.00    0.00    0.00    0.00    0.97    0.49    0.06    0.43  254.78   1.757   1.000   1.000
  111     2.4    22.0     8.2    0.00    0.00    0.00    0.00    0.83    0.49    0.06    0.43  253.46   1.748   1.000   1.000
  112     2.4    21.6     7.8    0.20    0.00    0.00    0.20    0.70    0.48    0.06    0.43  252.48   1.741   1.000   1.000
  113     2.4    21.2     9.0    0.00    0.00    0.00    0.00    0.60    0.49    0.06    0.43  251.40   1.734   1.000   1.000
  114     2.4    14.9    12.1    2.80    0.00    0.00    2.80    0.49    0.46    0.06    0.40  253.25   1.747   1.000   1.000
  115     2.4    20.8    13.3    1.00    0.00    0.00    1.00    0.68    0.50    0.06    0.44  253.07   1.745   1.000   1.000
  116     2.4    13.3     7.1    0.00    0.00    0.00    0.00    0.66    0.43    0.05    0.37  251.99   1.738   1.000   1.000
  117     2.4    12.1     3.1    0.00    0.00    0.00    0.00    0.55    0.40    0.05    0.35  251.04   1.731   1.000   1.000
  118     2.4    14.1     2.7    0.20    0.00    0.00    0.20    0.45    0.41    0.05    0.36  250.37   1.727   1.000   1.000
  119     2.4    17.3     8.2    6.00    0.00    0.00    6.00    0.39    0.46    0.06    0.40  255.53   1.762   1.000   1.000
  120     2.4    15.7     5.9    0.00    0.00    0.00    0.00    0.90    0.44    0.05    0.38  254.19   1.753   1.000   1.000
  121     2.4    14.5     3.1    0.20    0.00    0.00    0.20    0.77    0.42    0.05    0.37  253.20   1.746   1.000   1.000
  122     2.4    17.6     3.5    0.20    0.00    0.00    0.20    0.67    0.44    0.06    0.38  252.29   1.740   1.000   1.000
  123     2.4    18.0     7.8    0.00    0.00    0.00    0.00    0.58    0.46    0.06    0.40  251.25   1.733   1.000   1.000
  124     2.4    12.1     9.4   50.40    0.00    0.36   50.04    0.48    0.43    0.05    0.37  300.39   2.072   1.000   1.000
  125     2.4    23.9     6.7    1.80    0.00    0.00    1.80    5.39    0.49    0.06    0.43  296.31   2.043   1.000   1.000
  126     2.4    15.3     2.0    0.00    0.00    0.00    0.00    4.98    0.42    0.05    0.36  290.91   2.006   1.000   1.000
  127     2.4    18.0    -0.4    0.00    0.00    0.00    0.00    4.44    0.43    0.05    0.37  286.04   1.973   1.000   1.000
  128     2.4    20.0     3.9    7.00    0.00    0.00    7.00    3.95    0.46    0.06    0.40  288.63   1.991   1.000   1.000
  129     2.4    13.3     9.0   75.40    0.00    4.74   70.66    4.21    0.44    0.06    0.38  354.64   2.446   1.000   1.000
  130     2.4    19.2    12.5    0.00    0.00    0.00    0.00   10.81    0.49    0.06    0.42  343.34   2.368   1.000   1.000
  131     2.4    20.0    12.9    0.00    0.00    0.00    0.00    9.68    0.50    0.07    0.43  333.16   2.298   1.000   1.000
  132     2.4    20.0    12.1    1.40    0.00    0.00    1.40    8.67    0.49    0.07    0.43  325.40   2.244   1.000   1.000
  133     2.4    16.9     7.1    0.00    0.00    0.00    0.00    7.89    0.45    0.06    0.39  317.06   2.187   1.000   1.000
  134     2.4    15.7     4.7    0.20    0.00    0.00    0.20    7.06    0.43    0.06    0.37  309.77   2.136   1.000   1.000
  135     2.4    18.4    10.6    0.00    0.00    0.00    0.00    6.33    0.48    0.07    0.41  302.97   2.089   1.000   1.000
  136     2.4    20.8    12.1    0.00    0.00    0.00    0.00    5.65    0.50    0.07    0.43  296.83   2.047   1.000   1.000
  137     2.4    21.6    13.3   25.60    0.00    0.00   25.60    5.03    0.51    0.07    0.44  316.89   2.185   1.000   1.000
  138     2.4    17.3    12.5   10.60    0.00    0.00   10.60    7.04    0.48    0.07    0.41  319.97   2.207   1.000   1.000
  139     2.4    20.4    11.4    0.20    0.00    0.00    0.20    7.35    0.49    0.07    0.42  312.33   2.154   1.000   1.000
  140     2.4    24.3    13.3    9.40    0.00    0.00    9.40    6.58    0.53    0.08    0.45  314.62   2.170   1.000   1.000
  141     2.4    16.9    13.7    2.80    0.00    0.00    2.80    6.81    0.48    0.07    0.41  310.13   2.139   1.000   1.000
  142     2.4    15.7    -3.9    0.20    0.00    0.00    0.20    6.36    0.40    0.06    0.33  303.57   2.094   1.000   1.000
  143     2.4    12.1    -6.7    0.20    0.00    0.00    0.20    5.71    0.36    0.06    0.30  297.70   2.053   1.000   1.000
  144     2.4    16.9    -0.4    0.00    0.00    0.00    0.00    5.12    0.42    0.07    0.35  292.16   2.015   1.000   1.000
  145     2.4    18.0     3.5    0.00    0.00    0.00    0.00    4.57    0.44    0.07    0.37  287.15   1.980   1.000   1.000
  146     2.4    18.8     7.4    0.00    0.00    0.00    0.00    4.07    0.47    0.07    0.39  282.62   1.949   1.000   1.000
  147     2.4    14.1    11.0    8.60    0.00    0.00    8.60    3.61    0.45    0.07    0.38  287.16   1.980   1.000   1.000
  148     2.4    25.5    12.5    1.60    0.00    0.00    1.60    4.07    0.53    0.09    0.45  284.16   1.960   1.000   1.000
  149     2.4    20.0    12.9    4.40    0.00    0.00    4.40    3.77    0.50    0.08    0.42  284.30   1.961   1.000   1.000
  150     2.4    18.0    10.6    5.60    0.00    0.00    5.60    3.78    0.47    0.08    0.39  285.65   1.970   1.000   1.000
  151     2.4    18.8    13.7    0.60    0.00    0.00    0.60    3.91    0.49    0.08    0.41  281.84   1.944   1.000   1.000
  152     2.4    13.7     5.5    6.80    0.00    0.00    6.80    3.53    0.42    0.07    0.35  284.68   1.963   1.000   1.000
  153     2.4     9.8     0.0    1.40    0.00    0.00    1.40    3.82    0.38    0.07    0.31  281.89   1.944   1.000   1.000
  154     2.4    13.3     7.4    0.00    0.00    0.00    0.00    3.54    0.43    0.07    0.36  277.92   1.917   1.000   1.000
  155     2.4    19.2     1.6    0.00    0.00    0.00    0.00    3.14    0.44    0.08    0.37  274.33   1.892   1.000   1.000
  156     2.4    23.1    12.9    0.00    0.00    0.00    0.00    2.78    0.52    0.09    0.43  271.03   1.869   1.000   1.000
  157     2.4    25.9    16.9    0.00    0.00    0.00    0.00    2.45    0.55    0.10    0.45  268.03   1.848   1.000   1.000
  158     2.4    24.7    14.5    0.00    0.00    0.00    0.00    2.15    0.54    0.10    0.44  265.34   1.830   1.000   1.000
  159     2.4    20.4    12.9    0.20    0.00    0.00    0.20    1.88    0.50    0.09    0.41  263.15   1.815   1.000   1.000
  160     2.4    16.1     5.9    1.00    0.00    0.00    1.00    1.67    0.44    0.09    0.36  262.04   1.807   1.000   1.000
  161     2.4    16.9     1.2    0.00    0.00    0.00    0.00    1.55    0.43    0.08    0.35  260.06   1.794   1.000   1.000
  162     2.4    14.9    10.2    0.00    0.00    0.00    0.00    1.36    0.45    0.09    0.37  258.25   1.781   1.000   1.000
  163     2.4    15.3     4.7    0.20    0.00    0.00    0.20    1.18    0.43    0.08    0.35  256.84   1.771   1.000   1.000
  164     2.4    13.7     7.8    0.00    0.00    0.00    0.00    1.03    0.44    0.08    0.35  255.37   1.761   1.000   1.000
  165     2.4    22.4    11.8    0.00    0.00    0.00    0.00    0.89    0.51    0.10    0.41  253.98   1.752   1.000   1.000
  166     2.4    18.8    10.2    0.80    0.00    0.00    0.80    0.75    0.48    0.10    0.38  253.55   1.749   1.000   1.000
  167     2.4    18.8    15.3    3.00    0.00    0.00    3.00    0.71    0.50    0.10    0.40  255.34   1.761   1.000   1.000
  168     2.4    23.5    11.4    0.00    0.00    0.00    0.00    0.88    0.52    0.11    0.41  253.94   1.751   1.000   1.000
  169     2.4    18.0     7.4    0.00    0.00    0.00    0.00    0.74    0.46    0.10    0.37  252.74   1.743   1.000   1.000
  170     2.4    19.6     4.3    0.20    0.00    0.00    0.20    0.62    0.46    0.10    0.36  251.85   1.737   1.000   1.000
  171     2.4    25.1    16.5    0.00    0.00    0.00    0.00    0.54    0.55    0.12    0.43  250.77   1.729   1.000   1.000
  172     2.4    27.0    12.5    0.00    0.00    0.00    0.00    0.43    0.54    0.12    0.42  249.80   1.723   1.000   1.000
  173     2.4    32.5    20.0    0.00    0.00    0.00    0.00    0.33    0.61    0.14    0.47  248.86   1.716   1.000   1.000
  174     2.4    22.0    17.3    0.00    0.00    0.00    0.00    0.24    0.53    0.12    0.41  248.09   1.711   1.000   1.000
  175     2.4    15.7    14.9    1.40    0.00    0.00    1.40    0.16    0.48    0.11    0.37  248.85   1.716   1.000   1.000
  176     2.4    16.5    13.7    2.80    0.00    0.00    2.80    0.23    0.48    0.11    0.37  250.93   1.731   1.000   1.000
  177     2.4    18.8    15.3    0.20    0.00    0.00    0.20    0.44    0.50    0.12    0.38  250.19   1.725   1.000   1.000
  178     2.4    21.6    12.9    0.80    0.00    0.00    0.80    0.37    0.51    0.13    0.39  250.11   1.725   1.000   1.000
  179     2.4    25.1    11.4    0.00    0.00    0.00    0.00    0.36    0.53    0.13    0.40  249.22   1.719   1.000   1.000
  180     2.4    25.1     6.7    0.00    0.00    0.00    0.00    0.27    0.51    0.13    0.38  248.44   1.713   1.000   1.000
  181     2.4    24.7     9.8    0.00    0.00    0.00    0.00    0.19    0.52    0.14    0.38  247.72   1.708   1.000   1.000
  182     2.4    23.9     9.8    0.00    0.00    0.00    0.00    0.12    0.51    0.14    0.38  247.09   1.704   1.000   1.000
  183     2.4    22.0    12.1    0.00    0.00    0.00    0.00    0.06    0.51    0.14    0.37  246.52   1.700   1.000   1.000
  184     2.4    18.8    17.3    0.00    0.00    0.00    0.00    0.00    0.51    0.14    0.37  246.00   1.697   1.000   1.000
